CaseID,Q1,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q6A,Q6B,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q8,Q9A,Q9B,Q9C,Q9D,Q10A,Q10B,Q10C,Q10D,Q12,Q13,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q17,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q20a,Q20b,Q20c,Q20d,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q23,Q24,Q24A,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,XPARTY7,PARTY_1,PARTY_1_Other,PARTY_2,PARTY_3,PARTY_4,TEAPARTY3,XIDEO,xspanish,xprimelan,PARENT,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,weight,duration
3,2,3,3,4,3,3,3,3,3,3,3,2,3,2,3,3,2,1,1,3,1,3,3,2,2,1,3,3,2,2,3,1,2,2,2,2,3,3,2,3,2,3,2,3,1,2,1,3,1,3,3,3,2,2,2,2,2,3,3,2,1,1,1,1,1,2,1,1,1, ,1, , ,1,7,1,5,0,63,5,4,9,2,1,2,1,2,1,10,1,0,2,4,1,43,0,0,0,0,2,1,1,.6284,91
4,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,3,3,3,3,1,1,3,1,3,2,1,2,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,1,2,1,2,3,2,2,1,1,1,2,1,7,2, , ,1, , ,2,1,5,0,36,3,2,14,4,1,2,1,2,1,16,1,1,3,5,2,59,0,0,0,0,2,1,1,1.0476,3
5,2,2,2,2,1,3,3,3,-1,3,-1,2,3,3,3,3,2,2,2,-1,2,2,2,3,3,3,1,3,1,3,3,3,2,3,1,2,3,3,3,3,3,3,3,1,-1,3,3,3,3,3,-1,1,3,3,3,3,-1, ,1,2,1,1,1,1,1,1,1,5,5, , , ,2, ,4,1,5,1,27,2,1,9,2,2,2,1,2,3,10,5,1,1,1,2,14,0,1,0,0,1,7,1,1.5255,12
6,2,3,2,3,2,3,3,3,3,3,3,2,3,3,1,3,2,2,3,2,2,2,1,3,3,1,1,3,1,3,3,2,1,1,2,2,3,3,2,2,3,3,2,3,1,3,1,3,3,3,2,1,2,3,2,1,1, ,1,3,2,1,1,2,2,2,1,2,1, ,2, , ,2,5,1,5,0,64,5,4,13,4,1,2,1,1,1,12,3,1,3,6,1,64,0,0,0,0,1,1,1,.7028,9
7,1,3,2,3,2,3,3,2,1,3,1,2,3,2,1,2,2,1,1,3,3,3,3,3,1,1,1,2,2,3,3,1,3,1,2,2,1,2,2,3,1,2,2,2,1,2,1,1,1,1,1,3,1,1,2,2,3, ,1,2,1,1,2,2,2,1,1,1,1, ,1, , ,3,6,1,5,0,31,2,2,13,4,1,2,1,1,3,15,5,1,3,5,2,54,0,0,0,0,1,1,1,1.0476,8
9,2,1,1,1,1,3,3,3,3,3,3,2,2,2,2,3,2,1,1,2,2,1,3,2,1,1,1,3,3,3,2,1,1,3,2,2,3,3,2,2,2,3,2,3,1,3,1,1,1,3,2,1,3,3,2,1,2,3,1,1,1,1,1,1,1,1,1,5,3, , , ,2, ,3,1,5,0,67,6,4,13,4,1,2,1,2,1,16,1,1,2,3,1,33,0,0,0,0,2,1,1,.6574,46
10,2,2,3,3,2,3,3,3,3,3,3,2,3,2,1,2,2,3,3,3,3,3,3,3,3,1,1,3,2,3,3,2,1,1,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,1, ,2,1,1,1,2,2,1,2,1,1,1, ,1, , ,3,5,1,5,0,19,1,1,10,3,1,2,0,4,1,13,5,1,3,5,1,59,0,0,0,0,4,1,1,1.48,7
11,1,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,1,3,3,3,3,3,3,-1,3,3,3,3,2,2,3,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,-1,3,3,3,3,-1,3,3,3,3,-1,3,1,1,-1,1,2,1,2,1,2,1, ,2, , ,3,4,1,5,0,62,5,4,12,4,1,2,1,3,1,16,1,1,4,9,1,93,0,0,0,0,3,5,1,.6042,6
12,2,3,2,2,2,3,3,3,3,3,2,2,-1,2,1,3,2,3,1,2,3,3,1,3,3,1,3,3,1,2,2,2,3,1,2,3,3,2,2,3,3,3,2,3,1,2,3,3,3,3,3,1,2,3,1,3,2,3,3,1,1,1,1,1,1,1,1,3,3, , , ,1,3,5,1,5,0,71,6,4,11,3,1,2,1,2,1,15,1,1,3,5,1,55,0,0,0,0,2,5,1,.8872,11
13,2,2,3,2,2,3,1,2,3,3,3,2,3,3,1,3,2,3,1,3,2,3,3,1,3,1,1,3,2,2,1,2,1,1,2,2,3,3,2,2,2,3,2,2,3,3,1,2,1,3,3,1,2,3,3,1,2,1,3,3,1,2,1,2,2,3,1,7,2, , ,1, , ,2,1,5,0,65,6,4,12,4,1,2,1,2,1,15,1,1,3,7,1,72,0,0,0,0,2,5,1,.708,10
14,2,2,3,3,2,1,3,3,3,3,1,2,3,2,3,2,2,1,1,2,2,3,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,3,1,1,2,1,2,3,3,3,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1, ,1, , ,3,6,1,5,0,68,6,4,10,3,1,2,1,2,1,17,1,0,3,7,1,74,0,0,0,0,2,2,1,.8283,17
15,2,1,1,1,1,2,2,3,3,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,3,3,3,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,3,3,1,1, ,3,2,1,1,1,1,1,2,1,7,2, , ,1, , ,1,1,5,0,52,4,3,10,3,1,2,1,1,3,13,5,1,4,9,2,93,0,0,0,0,1,1,1,.8841,10
16,2,1,1,3,2,3,3,3,3,2,2,2,2,2,1,2,2,1,1,2,2,2,3,2,3,1,1,3,3,3,1,3,1,1,2,1,3,2,2,2,3,3,2,2,3,2,1,2,3,3,2,1,3,3,1,1,1,3,3,2,1,1,1,1,1,3,1,5,3, , , ,2, ,2,1,5,0,66,6,4,12,4,5,2,1,2,1,15,1,1,4,9,1,93,0,0,0,0,2,5,1,.2694,9
17,2,1,4,4,4,3,3,3,3,3,1,1,3,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,1,1,2,3,2,3,2,3,3,2,2,1,1,3,1,3,1,3,3,1,3,3,3,3,1,3,3,1,2,1,1,2,1,1,1,1,1, ,1, , ,2,4,1,5,0,82,7,4,11,3,1,2,0,1,1,12,1,1,4,9,1,93,0,0,0,0,1,5,1,.7516,16
