age,educ,race,gender,hhincome,employment,party,opinion_leaders,state,perc_women
5,9,1,1,10,1,1,2,MO,0.218
5,12,1,0,16,4,5,2,MO,0.218
4,7,1,0,12,1,3,1,MO,0.218
2,10,1,1,17,2,3,1,MO,0.218
4,6,1,1,11,1,6,2,MO,0.218
2,10,1,0,14,1,3,2,MO,0.218
5,13,1,1,14,5,2,2,MO,0.218
5,10,2,0,7,6,7,2,MO,0.218
4,13,1,1,13,2,7,2,MO,0.218
1,9,2,1,8,4,7,1,MO,0.218
5,9,1,0,12,1,1,2,MO,0.218
5,13,1,1,15,1,6,2,MO,0.218
1,9,4,1,1,1,6,2,MO,0.218
1,9,2,0,10,1,6,3,MO,0.218
1,10,1,1,12,7,3,2,MO,0.218
2,11,1,0,13,1,1,2,MO,0.218
1,9,2,1,4,4,4,NaN,MO,0.218
5,9,1,0,6,6,5,2,MO,0.218
6,9,1,1,11,2,6,2,MO,0.218
5,9,1,0,8,1,4,2,MO,0.218
4,7,3,1,11,1,5,2,MO,0.218
3,12,1,1,16,1,7,2,MO,0.218
3,12,1,1,19,1,3,2,MO,0.218
1,9,4,0,14,7,3,1,MO,0.218
5,10,1,0,13,5,3,2,MO,0.218
3,14,1,1,16,1,7,2,FL,0.256
1,10,1,1,13,1,1,2,FL,0.256
1,8,4,1,9,4,5,2,FL,0.256
6,14,1,1,16,5,2,2,FL,0.256
3,10,2,1,14,1,7,2,FL,0.256
2,10,4,0,8,1,7,2,FL,0.256
5,12,1,1,19,5,3,2,FL,0.256
5,11,1,1,9,1,3,1,FL,0.256
5,9,1,1,13,6,1,1,FL,0.256
2,12,1,0,13,1,4,2,FL,0.256
1,9,2,0,18,1,7,NaN,FL,0.256
2,9,1,1,10,1,3,1,FL,0.256
1,9,1,0,11,1,4,1,FL,0.256
6,13,1,0,12,1,1,2,FL,0.256
6,13,1,0,12,5,7,2,FL,0.256
5,9,1,1,11,6,6,3,FL,0.256
4,9,1,0,4,6,5,2,FL,0.256
7,9,1,1,16,5,7,2,FL,0.256
7,11,1,0,13,5,3,2,FL,0.256
3,13,1,0,14,1,2,2,FL,0.256
7,9,1,0,7,5,5,2,FL,0.256
2,9,1,1,8,6,5,3,FL,0.256
6,13,1,0,16,5,1,1,FL,0.256
2,13,1,0,16,1,3,3,FL,0.256
5,10,1,1,13,5,2,2,FL,0.256
1,11,1,1,16,1,5,2,FL,0.256
6,4,1,1,1,6,7,2,FL,0.256
3,9,1,1,12,1,1,2,FL,0.256
6,9,1,1,7,5,1,3,FL,0.256
6,13,1,1,5,5,7,3,FL,0.256
4,9,1,0,13,2,5,2,FL,0.256
4,10,1,0,11,2,6,3,FL,0.256
4,12,1,1,7,2,1,2,FL,0.256
4,10,1,0,6,6,6,2,FL,0.256
4,8,1,1,3,6,3,3,FL,0.256
3,9,1,1,12,7,5,2,FL,0.256
3,10,1,1,13,6,7,2,FL,0.256
7,13,1,0,15,5,3,2,FL,0.256
6,9,1,1,14,1,3,2,FL,0.256
7,8,2,0,16,5,7,2,FL,0.256
